CC_num,SCA_A_ID,SCA_B_ID,LpGBT_L0_ID,LpGBT_L1_ID,LpGBT_L0_version,LpGBT_L1_version,L0_EOM_IEO,L1_EOM_IEO,20_SCA_A_recorded_temp,20_SCA_A_slope,20_SCA_A_offset,20_SCA_A_current,20_SCA_A_date,20_SCA_B_recorded_temp,20_SCA_B_slope,20_SCA_B_offset,20_SCA_B_current,20_SCA_B_date,10_SCA_A_recorded_temp,10_SCA_A_slope,10_SCA_A_offset,10_SCA_A_current,10_SCA_A_date,10_SCA_B_recorded_temp,10_SCA_B_slope,10_SCA_B_offset,10_SCA_B_current,10_SCA_B_date,-30_SCA_A_recorded_temp,-30_SCA_A_slope,-30_SCA_A_offset,-30_SCA_A_current,-30_SCA_A_date,-30_SCA_B_recorded_temp,-30_SCA_B_slope,-30_SCA_B_offset,-30_SCA_B_current,-30_SCA_B_date,in_range
138,0xd5e3,0xd5e1,0xc4a8643b,0x842d636f,V1,V1,12,11.5,23.3443961242084,0.000245813539566458,-0.000650349489222879,9.41875580515751E-05,2024-07-29 14:38:37.835248,23.4458686198215,0.000245001568423352,-0.000229185104006324,9.5740218652595E-05,2024-07-29 14:41:34.245013,14.2278934920272,0.000246014808467844,-0.000937558281555118,9.39767791091415E-05,2024-07-29 16:02:26.267405,14.2278934920272,0.000245015886638617,-0.000238532587012175,9.54086082692285E-05,2024-07-29 16:02:26.267895,-28.8471808957046,0.000245898001698457,-0.00117875101041981,9.47811170518823E-05,2024-07-29 15:24:37.597084,-29.0421149004349,0.000243583263378316,-0.000294781609419148,9.39869648504936E-05,2024-07-29 15:27:25.113577,True
139,0xf1fe,0xf218,0xe42d14dd,0x64ae5d0e,V1,V1,21.5,10,23.5046158541238,0.000245753569394558,-0.00105372288576477,0.000100502834750354,2024-07-29 14:44:40.652657,23.5046158541238,0.000245308025813491,1.05405516970802E-05,9.6802819557069E-05,2024-07-29 14:44:40.653136,12.0275425345235,0.000246850971255872,-0.000931557106299552,0.000100771232035953,2024-07-29 15:59:30.876699,11.7658503089952,0.00024604430602387,-0.000993884239370524,9.53095547232039E-05,2025-03-05 12:42:17.346331,-28.2730601968414,0.000248047796106412,-0.000953752803019403,0.000101874454580196,2025-03-05 13:10:09.714176,-28.2730601968414,0.000247086585799252,-0.000928797600114995,9.59621624502633E-05,2025-03-05 13:10:09.714176,False
140,0xf1b1,0xf1b0,0x2c2f5df4,0xc42c2334,V1,V1,9,10.5,27.9987792782483,0.000246128237945438,-0.00113126784987977,9.45466226153686E-05,2025-03-05 12:19:40.404063,27.5101091020066,0.000246106783349091,-0.0010703324225933,9.6231703092272E-05,2025-03-05 12:26:21.469904,11.7658503089952,0.000245553886200121,-0.00123412515706572,9.43383142944353E-05,2025-03-05 12:42:17.382202,11.7658503089952,0.000245525843122151,-0.00109559196663295,9.612799052036E-05,2025-03-05 12:42:17.382202,-28.2730601968414,0.000243450926972392,-0.00112984603468197,9.3975365561123E-05,2025-03-05 13:10:09.752016,-28.2730601968414,0.000244006991800934,-0.000996827702604564,9.59331121539545E-05,2025-03-05 13:10:09.752016,True
141,0xf1f2,0xf1f3,0x4c2983e6,0xe4aa6048,V1,V1,14,20,23.4458686198215,0.000244792707530342,-0.00025831873300719,0.000101056864936307,2024-07-29 14:41:34.225330,23.4458686198215,0.000245485777577975,0.000556723861579289,9.89148668315807E-05,2024-07-29 14:41:34.226079,12.0275425345235,0.000244633246435106,-0.000362322733170495,0.000101094894664879,2024-07-29 15:59:30.858541,12.0275425345235,0.000245748408213953,0.000534530269643618,9.89123546669953E-05,2024-07-29 15:59:30.859052,-29.0421149004349,0.000242471255336587,-0.000816837556013916,0.000101590189228672,2024-07-29 15:27:25.089421,-28.4546425574121,0.000245169353061897,0.000210926389175359,9.8409589118644E-05,2024-07-29 15:21:54.164589,True
142,0xe884,0xe84f,0xac2beb5f,0xa4ae4f2c,V1,V1,20,20,23.2963302052338,0.000245583919276791,-0.00130041398178293,0.000101252591726651,2025-03-26 13:42:48.122446,23.2963302052338,0.000245992059490319,-0.00127164515375794,9.67195151211103E-05,2025-03-26 13:42:48.122446,11.5815976195926,0.000245510486966246,-0.00125180753146975,0.000101432886469949,2025-03-26 13:58:31.413165,11.5815976195926,0.000245435104983752,-0.00125138792066287,9.67665433114381E-05,2025-03-26 13:58:31.413165,-28.5748073548486,0.000245193292202943,-0.00127619146793034,0.000101750549343726,2025-03-26 14:29:11.658516,-28.5748073548486,0.000243749889027185,-0.00129308216929358,9.66725565110332E-05,2025-03-26 14:29:11.658516,True
143,0xe86c,0xe866,0xccacbeb7,0xcc2e74a5,V1,V1,18.5,20,27.5101091020066,0.00024591674760514,-0.000891385911962139,0.000106136115953539,2025-03-05 12:26:21.541334,26.5461203936828,0.000245455541081733,0.000180011419386006,9.85990322558223E-05,2024-07-30 10:39:17.549582,11.7658503089952,0.000246214877544245,-0.000933205540605553,0.000106502484709822,2025-03-05 12:42:17.455029,10.3505760280766,0.000244369733823269,0.000218334434687328,9.87828771317132E-05,2024-07-30 11:21:38.583777,-28.2730601968414,0.000246895123839935,-0.00100524725043027,0.000107499035841212,2025-03-05 13:10:09.833958,-28.2730601968414,0.000243337269690466,-0.000784841656056357,9.71753181149756E-05,2025-03-05 13:10:09.833958,True
144,0x8e8cd,0xf22b,0x42a169d,0x24288dbd,V1,V1,12.5,16,25.990691996643,0.000245722315913768,-0.00205583299984946,9.1311942518664E-05,2024-07-30 10:53:44.572703,26.196307316701,0.000245062637249203,-0.000281071294094604,9.71514561826736E-05,2024-07-30 10:47:49.689836,10.3505760280766,0.000245190382061331,-0.002383874985524,9.08677939994603E-05,2024-07-30 11:21:38.577182,10.3505760280766,0.000244670430558135,-0.000396602521600287,9.72444004642898E-05,2024-07-30 11:21:38.577710,-29.8512245365072,0.000242713377847913,-0.002482472269697,9.0096428313536E-05,2024-07-30 12:21:24.976450,-29.7390707255665,0.000242679227100237,-0.000390289020798795,9.71788299513849E-05,2024-07-30 12:18:35.667139,False
145,0xf200,0xf22c,0x1a2931c1,0xfaaf66ff,V2,V2,23,9.5,25.9399557488365,0.000245456958407641,-0.000728596958980365,9.99256620962822E-05,2025-05-23 10:37:42.999438,26.0868238345922,0.000245340412343558,-4.33389778777271E-05,0.000100793271099869,2024-07-30 10:50:40.327436,10,0.000245430258149918,-0.00185165872220938,9.98322914536626E-05,2024-07-30 11:30:58.100520,10.3505760280766,0.000244653043636965,3.73149956592878E-05,0.000100990293631369,2024-07-30 11:21:38.571220,-29.893949797818,0.000244158458614953,-0.00211051051934313,9.95330075804661E-05,2024-07-30 12:24:16.589846,-29.7390707255665,0.000242976073103742,-0.000135021981052252,0.000101584816611564,2024-07-30 12:18:35.658696,True
146,0xf20e,0xf20f,0x24af53d7,0xc4ae3e01,V1,V1,21,23,25.5233844510567,0.000245307853408291,0.000111499756576983,9.79668178538517E-05,2025-06-11 12:31:49.861007,26.5461203936828,0.000244520347835759,3.52105339311293E-05,9.82358754096653E-05,2024-07-30 10:39:17.531716,11.9047074082551,0.000245714095384661,9.46752631671988E-05,9.80343815946503E-05,2025-06-11 13:01:36.719195,10.3505760280766,0.000243827047063017,-9.07728249716078E-06,9.80058999024139E-05,2024-07-30 11:21:38.563766,-27.97932402533,0.000246769115707687,0.000171826086443061,9.82654241769466E-05,2025-06-11 13:39:25.171867,-27.97932402533,0.000243246272959137,0.000998363915306111,9.79595756583708E-05,2025-06-11 13:39:25.171867,True
147,0xf1be,0xf196,0x242d4828,0xcaf3390,V1,V1,11,10,26.5461203936828,0.000245367079960322,-0.000662669049574571,9.8311230832754E-05,2024-07-30 10:39:17.526617,26.5461203936828,0.000244388563078468,0.000440849009370414,9.94758027276551E-05,2024-07-30 10:39:17.527047,10.3505760280766,0.000244777448557064,-0.000722999363168442,9.81600204755869E-05,2024-07-30 11:21:38.556130,10.3505760280766,0.000244458772020665,0.000214431497738588,9.93021204501882E-05,2024-07-30 11:21:38.556636,-29.893949797818,0.000242252161788684,-0.000390479897760143,9.82706422676065E-05,2024-07-30 12:24:16.569955,-29.893949797818,0.000243590576769022,0.00016883089271752,9.88996983370733E-05,2024-07-30 12:24:16.570420,True
148,0xe8ae,0xe8ca,0x642c311f,0x4c2c16ef,V1,V1,8,9,26.196307316701,0.000244666935009348,-0.00113701102466568,9.62352114811516E-05,2024-07-30 10:47:49.659418,26.196307316701,0.000245307650248897,-0.000191354352855333,0.000100350904329797,2024-07-30 10:47:49.659953,10.3505760280766,0.000244223251639674,-0.00111709059162712,9.59277088272276E-05,2024-07-30 11:21:38.548759,10.3505760280766,0.000244776090128165,-8.8731516405427E-05,0.000100848792513186,2024-07-30 11:21:38.549226,-29.893949797818,0.000242782331818196,-0.00128314429557508,9.48949026900906E-05,2024-07-30 12:24:16.560686,-29.893949797818,0.00024284683015233,-0.000355917747510537,0.000101459314279598,2024-07-30 12:24:16.561175,True
149,0xd661,0xd660,0x12a91e0f,0xda2a9b0d,V2,V2,24,11,26.196307316701,0.000245031862447765,-0.000890395362890817,0.000101354492484891,2024-07-30 10:47:49.651490,26.5461203936828,0.000245484810229436,8.18235434748016E-05,9.95314343423273E-05,2024-07-30 10:39:17.517068,10.3505760280766,0.000245087511600155,-0.000906062484192838,0.000101902361538448,2024-07-30 11:21:38.541344,10.3505760280766,0.000245230470718951,-5.93227533481344E-05,0.000100045965051084,2024-07-30 11:21:38.541820,-29.8512245365072,0.000244728537540002,-0.00121594190357505,0.00010347786061374,2024-07-30 12:21:24.930583,-29.7390707255665,0.000244224010669675,-4.56139084867302E-05,0.000101975956296851,2024-07-30 12:18:35.624794,True
150,0xf20d,0xe826,0x2c29370e,0x642ab5c7,V1,V1,18,12.5,27.5101091020066,0.000246346380029142,-0.000549544934702551,9.68605656065617E-05,2025-03-05 12:26:21.573816,27.5101091020066,0.000246109177304463,-0.000336866302964478,9.82194817752678E-05,2025-03-05 12:26:21.573816,11.7658503089952,0.000245409801322596,-0.000571435177975699,9.68190919945616E-05,2025-03-05 12:42:17.488947,11.7658503089952,0.000246306433720226,-0.000427638753852433,9.81987056355949E-05,2025-03-05 12:42:17.488947,-28.2730601968414,0.000243184095407229,-0.000466383651307079,9.68375013775591E-05,2025-03-05 13:10:09.870210,-28.2730601968414,0.000246790602907476,-0.000476842509870956,9.8330735979402E-05,2025-03-05 13:10:09.870210,True
151,0xd645,0xd643,0xe428e14b,0x84af72c0,V1,V1,20,8,26.5461203936828,0.000245090462685733,-0.0020091208620428,9.63515183275504E-05,2024-07-30 10:39:17.503756,26.196307316701,0.000245449516352206,0.000104598690341795,9.59988304505198E-05,2024-07-30 10:47:49.637980,10.3505760280766,0.000245660498453369,-0.00228173268051074,9.60492581933344E-05,2024-07-30 11:21:38.528647,10.3505760280766,0.000245241013269392,2.73435323918658E-05,9.58721908201019E-05,2024-07-30 11:21:38.529197,-29.8512245365072,0.000247461405737127,-0.00259891212789665,9.57046539977669E-05,2024-07-30 12:21:24.911632,-29.7390707255665,0.000244449980479532,-0.000106820954884401,9.55341131882288E-05,2024-07-30 12:18:35.607809,False
152,0xf1e2,0xf1e3,0x2ca8b5ce,0x8c2f9791,V1,V1,18.5,9,26.5461203936828,0.000244934353286247,-0.00107827030071894,0.000105126479372659,2024-07-30 10:39:17.475209,26.5461203936828,0.000244972129058612,0.000462158228496656,9.90530027987203E-05,2024-07-30 10:39:17.475732,10.3505760280766,0.000245020390799049,-0.00116990868752181,0.000105713440661261,2024-07-30 11:21:38.519436,10.6176089112688,0.000245911186425106,0.00031964502651427,9.91951164791753E-05,2024-07-30 11:18:43.954378,-28.115510795758,0.000244897119190558,-0.000768820854988361,0.000106836074545736,2025-05-20 11:44:06.328329,-28.115510795758,0.00024634155015778,-0.000742901039747723,9.7156708008022E-05,2025-05-20 11:44:06.328329,True
153,0xf1de,0xf1df,0xcafe1b2,0xc4ad4029,V1,V1,8,13,21.205462729839,0.000245240943008688,-0.000354707995149917,9.04560417178903E-05,2024-07-25 13:58:57.499100,21.2962539101244,0.000245247463019919,0.000291358931836017,9.14099345644613E-05,2024-07-25 14:01:15.418631,13.2104982070649,0.000244903028954585,-0.000389653920330302,9.01439603580782E-05,2024-07-25 15:01:56.039856,10.6122682536049,0.000245447147667074,0.000305269287213084,9.13562268466179E-05,2024-07-25 14:59:37.335835,-28.115510795758,0.000244108640356187,-0.00145892161388589,8.82323756391616E-05,2025-05-20 11:44:06.362229,-29.2877851529717,0.000245360422158828,0.000262978294011784,9.17339181066401E-05,2024-07-25 14:43:20.974962,False
154,0xd5cc,0xd5ca,0x52a80da2,0x7a2aa4f4,V2,V2,19,16,26.1429007400626,0.000245637624503332,-0.00175925071693284,9.80814119549405E-05,2025-07-03 09:15:55.963415,21.6193636987869,0.000244801467106532,-0.000112618739007919,9.77101737646091E-05,2024-07-25 11:11:00.460196,11.1837186236362,0.000245922258232687,-0.00182962537281423,9.82419738392978E-05,2025-07-03 09:27:47.206914,14.6070801861601,0.000244916261900863,-0.000190834550466368,9.77684415599421E-05,2024-07-25 12:22:51.701479,-28.6015106431678,0.000246839941221969,-0.00195395052735542,9.88873039024811E-05,2025-07-03 09:52:11.758365,-28.6015106431678,0.000244285711822208,-0.000235404924932847,9.78007833523654E-05,2025-07-03 09:52:11.758365,True
155,0xd5f8,0xd5f7,0xe4aa88fa,0xec2faea1,V1,V1,17.5,22.5,26.0574502174411,0.000245628318515945,0.00067916166330223,9.31971505274313E-05,2025-06-16 11:27:45.977802,21.6193636987869,0.000244399427510129,-0.000215332569978299,9.8421033509835E-05,2024-07-25 11:11:00.464632,11.7818722819867,0.00024513854983316,0.000547515426659928,9.29438293072326E-05,2025-06-16 11:48:37.008140,14.6070801861601,0.000243300586567727,-0.000125342348665902,9.84937571405437E-05,2024-07-25 12:22:51.706797,-28.0193789578088,0.000243654457505613,0.000414937014171501,9.24072950240715E-05,2025-06-16 12:22:36.755259,-28.0193789578088,0.00024134336206247,0.00186061154415568,0.000100423994537879,2025-06-16 12:22:36.755259,True
156,0xd622,0xd60a,0xc429f113,0xccaf8741,V1,V1,13.5,9.5,24.5,0.000245424967434779,-0.00113292687683053,9.76640820299618E-05,2024-07-24 12:11:33.113498,24.5,0.000245204278557761,-4.28483663941215E-05,9.99614942047288E-05,2024-07-24 12:11:33.113561,13.9875638971542,0.000245567158773121,-0.0011840703207614,9.74364800601818E-05,2024-07-24 13:28:57.402602,13.9875638971542,0.000246083104218149,2.96314456142976E-05,9.98588835500378E-05,2024-07-24 13:28:57.402677,-29.1649500267033,0.000244089551423141,-0.00124015165241015,9.66686898689396E-05,2024-07-24 13:01:42.811310,-28.115510795758,0.000246757510283673,-0.000636814556185694,9.91935770355267E-05,2025-05-20 11:44:06.375511,True
157,0xd604,0xd5ee,0x842e2827,0x4c2c4626,V1,V1,22.5,12,24,0.00024535784287116,-0.00166702768002347,9.21785519932182E-05,2024-07-24 12:04:04.116469,24.5,0.00024559570641895,7.23536926832136E-05,9.86436165061854E-05,2024-07-24 12:11:33.118082,11.9794766155489,0.000245607221430607,-0.00155335820282204,9.23064076128668E-05,2024-07-24 13:24:07.266048,11.9794766155489,0.000246319941729253,3.89355965174643E-06,9.83047127752265E-05,2024-07-24 13:24:07.266134,-29.1462577248798,0.00024518904176345,-0.00134788035135669,9.25440780137365E-05,2024-07-24 12:55:18.348508,-28.2223239490349,0.000246900294682848,-0.00105965411654924,9.76221913230161E-05,2025-03-06 08:51:35.188109,True
158,0xd5af,0xd5b0,0x842baf00,0x84afa5b2,V1,V1,9,16.5,26.0894941634241,0.000245373633647582,-0.00102612926802137,9.11312790597111E-05,2025-03-06 07:59:36.221407,21.4698252841993,0.000246332606492832,-4.36656294260374E-05,0.000104108003002536,2024-07-25 11:05:47.519774,11.6536964980545,0.000245322543473307,-0.000982667471829957,9.10215976478836E-05,2025-03-06 08:20:19.291152,11.6536964980545,0.000246835533886488,-0.00083101325902013,0.000103613282310853,2025-03-06 08:20:19.291152,-28.2223239490349,0.000245319517099562,-0.00100355706253447,9.08039377447071E-05,2025-03-06 08:51:35.212352,-28.2223239490349,0.000248042388442319,-0.000757694199924552,0.000104598399071614,2025-03-06 08:51:35.212352,False
159,0xd5b5,0xd5b4,0x4cad730b,0xc42cced9,V1,V1,17,9.5,24.1481651026169,0.000245473956572192,0.000208931547960423,9.00523453798186E-05,2025-06-13 12:02:58.039856,24.1481651026169,0.000245003721766382,0.00153775798032596,9.21240604487472E-05,2025-06-13 12:02:58.039856,11.8352788586252,0.000245699574930457,-9.15534717965683E-06,8.9789485728499E-05,2025-06-13 12:23:43.837456,11.8352788586252,0.000244201011857964,0.00120656734706898,9.16610127693838E-05,2025-06-13 12:23:43.837456,-28.182269016556,0.000246062580881741,0.000181970689650091,8.98615523819361E-05,2025-06-13 13:02:09.181697,-28.182269016556,0.000241758907888749,0.001107730151722,9.1127587500412E-05,2025-06-13 13:02:09.181697,False
160,0xe880,0xe899,0x12a9ed0c,0x72aa426a,V2,V2,19,23,24.5,0.000245534422694669,-0.000226725783334214,9.67507202432201E-05,2024-07-24 12:11:33.130347,24.5,0.000244907068849149,0.000817975736730592,9.55127639454106E-05,2024-07-24 12:11:33.130437,11.432059205005,0.000245204332433119,-0.000279225368734648,9.67075435900434E-05,2024-07-24 13:32:10.299238,7.66422522316319,0.000244635983417175,0.000211949869778794,9.49074145182081E-05,2024-07-24 13:20:21.933175,-29.0928511482414,0.000242948831696416,-0.000492484334982835,9.66146156277152E-05,2024-07-24 12:58:28.951880,-28.2143129625391,0.00024128718236896,0.000528816326297699,9.44944959824209E-05,2024-07-24 12:48:33.355836,True
161,0xe862,0xe8c9,0xcace14e,0xec29326e,V1,V1,17.5,9,26.0894941634241,0.000245350973817913,-0.00101399145859837,9.75847042728773E-05,2025-03-06 07:59:36.278433,26.0894941634241,0.000245303012611235,-0.000734155873246545,0.00010773185293926,2025-03-06 07:59:36.278433,11.6536964980545,0.000245158946833951,-0.000992920389801588,9.7559296588782E-05,2025-03-06 08:20:19.348050,11.6536964980545,0.000245988336536999,-0.000766616131788522,0.00010823524197007,2025-03-06 08:20:19.348050,-28.2223239490349,0.000244441764578328,-0.00103873465495413,9.74098558639967E-05,2025-03-06 08:51:35.285978,-28.2223239490349,0.000247453266647002,-0.000713079352609447,0.000109434560980163,2025-03-06 08:51:35.285978,False
162,0xc1fa,0xf203,0x8ca816c2,0x2caec8ba,V1,V1,10,21,24,0.000244902429168266,-0.00207979942752751,0.000100179200899546,2024-07-24 12:04:04.136938,24.5,0.000245380131802194,0.000206504018943621,9.8103322418505E-05,2024-07-24 12:11:33.138679,13.9875638971542,0.000245639227568197,-0.0021743981509314,0.000100709378587773,2024-07-24 13:28:57.430329,11.432059205005,0.000245529444883128,0.000133485546525536,9.81979347582908E-05,2024-07-24 13:32:10.310252,-28.2223239490349,0.00024664349004071,-0.000686334602828076,0.000103308978358037,2025-03-06 08:51:35.308952,-29.0928511482414,0.000244609118838229,-0.000121875374410496,9.91121667712709E-05,2024-07-24 12:58:28.962178,True
163,0xe837,0xe87e,0xfaa9a5ca,0xbaadfd7c,V2,V2,24,13,24.5,0.000246049770831379,-0.00141159168710747,9.32246487009543E-05,2024-07-24 12:11:33.143043,24.5,0.000244964486302088,0.0001119966898529,9.67854645175385E-05,2024-07-24 12:11:33.143115,11.432059205005,0.000245776892484461,-0.00160294362244251,9.26279599442695E-05,2024-07-24 13:32:10.315649,11.432059205005,0.000245124950398658,0.000147974369344106,9.67104692988743E-05,2024-07-24 13:32:10.315752,-29.0928511482414,0.00024330915051976,-0.00205067366915046,9.04797236196513E-05,2024-07-24 12:58:28.966516,-29.0928511482414,0.000244462910516411,-8.56637874031008E-05,9.62964180249018E-05,2024-07-24 12:58:28.966609,False
164,0xd5df,0xd5b8,0x8c2c1cb3,0x44aac64e,V1,V1,18,17,21.6193636987869,0.000245050669217929,-0.00112767945059999,9.63848557835359E-05,2024-07-25 11:11:00.469103,21.6193636987869,0.000244913446130447,-0.000186752791408562,9.91353060192873E-05,2024-07-25 11:11:00.469150,14.6070801861601,0.000245364591157288,-0.00111262642899851,9.65125286870912E-05,2024-07-25 12:22:51.711634,14.7245746547646,0.000244893990914508,-0.000170771188020391,9.90775953362189E-05,2024-07-25 12:20:08.867795,-29.4747081712062,0.000245531241865538,-0.00101099910496982,9.76938391472701E-05,2024-07-25 11:58:13.069955,-29.4853894865339,0.000242284154561992,-0.000178568245458588,9.86381019833632E-05,2024-07-25 11:55:23.124960,True
165,0xd67b,0xd69b,0xacaf35f5,0xc4a80b68,V1,V1,12,22,22.0626382848859,0.000244207420077881,0.000309457017452164,9.71059910405804E-05,2025-02-05 08:23:11.601555,23.6861982146944,0.000245585777045339,-9.04103274676493E-05,0.000102203678829119,2025-02-04 16:23:00.250688,12.8393224994278,0.000243925469252107,1.05932482597493E-05,9.67938008920038E-05,2025-02-04 16:39:01.285057,12.8393224994278,0.000246082600718931,-0.000149639574395677,0.000102326277157008,2025-02-04 16:39:01.285057,-28.3585107194629,0.000242035554377981,2.42964745951757E-05,9.62527860023691E-05,2025-02-04 17:10:04.846697,-28.3585107194629,0.00024716147869882,-0.000250598913358491,0.000102495334384985,2025-02-04 17:10:04.846697,True
166,0xd764,0xd76a,0xc2e6a21,0x8c2c1620,V1,V1,22.5,19,23.6861982146944,0.00024564363646469,-0.000740566351290717,9.55468431562163E-05,2025-02-04 16:23:00.254759,23.6861982146944,0.000244793869534647,-0.000529932959603852,0.000102030803132325,2025-02-04 16:23:00.254759,12.8393224994278,0.000245595001035372,-0.00084012013095025,9.54760696123855E-05,2025-02-04 16:39:01.294243,12.8393224994278,0.00024500860707859,-0.000678229390740359,0.000102291475013327,2025-02-04 16:39:01.294243,-28.3585107194629,0.000245710054925654,-0.000914166745407508,9.55311044552796E-05,2025-02-04 17:10:04.857553,-28.3585107194629,0.000245292462229981,-0.000723093010343345,0.00010286882775284,2025-02-04 17:10:04.857553,True
167,0xdb2f,0xdb47,0xbaa85446,0xda2fab92,V2,V2,5,12,23.6861982146944,0.00024521104676344,-0.000968053039982264,0.000103069012589085,2025-02-04 16:23:00.258171,23.6861982146944,0.000245141611491589,-0.00036296894900878,0.00010216994490939,2025-02-04 16:23:00.258171,12.8393224994278,0.000245312606902035,-0.000979740243672866,0.000103280517061772,2025-02-04 16:39:01.301673,12.8393224994278,0.00024606714566415,-0.000408226600897843,0.000102442969948251,2025-02-04 16:39:01.301673,-28.3585107194629,0.000245456807684203,-0.00103912201726103,0.000103586085548673,2025-02-04 17:10:04.862597,-28.3585107194629,0.000248140461489175,-0.000148697852413171,0.000103193651933324,2025-02-04 17:10:04.862597,False
168,0xdacc,0xdae4,0xac2db25a,0x8c2f91f1,V1,V1,9.5,17.5,23.6861982146944,0.000246039505734703,-0.000685585506931152,9.98994199089459E-05,2025-02-04 16:23:00.261931,22.0626382848859,0.00024564411599605,-0.000643634242858848,9.80095240004385E-05,2025-02-05 08:23:11.616235,12.8393224994278,0.000246046683012705,-0.000800343217824684,9.99877911517529E-05,2025-02-04 16:39:01.304899,12.8393224994278,0.000245396978148057,-0.000787166462237032,9.79016897128348E-05,2025-02-04 16:39:01.304899,-28.3585107194629,0.000245885665451549,-0.000893946672662238,0.000100241303508599,2025-02-04 17:10:04.867058,-28.3585107194629,0.000244850694626547,-0.000841700837199588,9.80452038258826E-05,2025-02-04 17:10:04.867058,True
169,0xd8b1,0xd8cc,0x4293e7a,0x24aa0f2b,V1,V1,18,17,22.0626382848859,0.00024567152707659,-0.000485319214863555,9.85086948559193E-05,2025-02-05 08:23:11.620765,23.6861982146944,0.000245900252592764,-0.000558740291796811,0.000100018631233312,2025-02-04 16:23:00.265361,12.8393224994278,0.000245468817796832,-0.000604091081799041,9.84888322849806E-05,2025-02-04 16:39:01.308046,12.8393224994278,0.000246351808920217,-0.0006332361470055,0.00010012918781699,2025-02-04 16:39:01.308046,-28.3585107194629,0.000244396174838462,-0.000670032949421973,9.8298079650784E-05,2025-02-04 17:10:04.871785,-28.3585107194629,0.000247252945771611,-0.000689869535355991,0.000100441400842107,2025-02-04 17:10:04.871785,False
170,0xd766,0xd76b,0xd22dfca6,0xfaaa487e,V2,V2,17,24,35.0671396963455,0.000246899497425431,-0.0011651622778201,9.62289675520039E-05,2025-02-05 13:21:17.793037,35.0671396963455,0.000246205268040028,-0.000600675895985725,9.57372496019859E-05,2025-02-05 13:21:17.793037,11.8726634622721,0.000246002717409572,-0.00123477604885597,9.60788845084957E-05,2025-02-05 13:40:53.783294,11.8726634622721,0.000245429460682125,-0.000590962093693914,9.57307855412345E-05,2025-02-05 13:40:53.783294,-28.1101701380941,0.000244243548842448,-0.00119604138155777,9.59042655720473E-05,2025-02-05 14:45:45.708153,-28.1101701380941,0.000243575707902077,-0.000562153822907363,9.56585764613697E-05,2025-02-05 14:45:45.708153,True
171,0xd865,0xd868,0x1a29dae9,0xd2a9843c,V2,V2,4,15,23.6861982146944,0.000245581337601174,-0.00117556730162144,9.71573676801619E-05,2025-02-04 16:23:00.272561,23.6861982146944,0.000245448067145264,-0.00119589894115496,9.99770598563667E-05,2025-02-04 16:23:00.272561,12.8393224994278,0.00024528387286211,-0.00123448795703518,9.71688789813961E-05,2025-02-04 16:39:01.314290,12.8393224994278,0.000245397217088228,-0.00118733447122149,0.000100245610210283,2025-02-04 16:39:01.314290,-28.3585107194629,0.000244340867551422,-0.00125454897934907,9.72973408566708E-05,2025-02-04 17:10:04.880109,-28.3585107194629,0.000245173583391249,-0.00124081221547501,0.000100927858358647,2025-02-04 17:10:04.880109,True
172,0xd702,0xd6e3,0x122de81b,0xd2afd109,V2,V2,12.5,24,23.6861982146944,0.000245219325158974,-0.00120586344663481,0.000103215742991504,2025-02-04 16:23:00.276130,22.0626382848859,0.00024538790721177,-0.000829689332116634,9.66748540586783E-05,2025-02-05 08:23:11.639122,12.8393224994278,0.000245555672184217,-0.00133267373525037,0.000103275718904195,2025-02-04 16:39:01.318660,12.8393224994278,0.000245162627424038,-0.000930294745125349,9.66498110656161E-05,2025-02-04 16:39:01.318660,-28.3585107194629,0.000246105161299805,-0.00137572418503207,0.000103558670699679,2025-02-04 17:10:04.884319,-28.3585107194629,0.000244259601403375,-0.000980220907593921,9.66230624093114E-05,2025-02-04 17:10:04.884319,True
173,0xd781,0xd76e,0x4ad232f,0x2c2a6da7,V1,V1,10,12,23.6861982146944,0.000245842093821646,-0.000869047874869744,9.52555056534573E-05,2025-02-04 16:23:00.279349,23.6861982146944,0.00024546031227226,-0.000457725844392354,9.60636044995278E-05,2025-02-04 16:23:00.279349,12.8393224994278,0.000245775318249865,-0.000874767393056697,9.53639702448252E-05,2025-02-04 16:39:01.322026,12.8393224994278,0.000245893438011444,-0.000464856875610153,9.6256361997973E-05,2025-02-04 16:39:01.322026,-28.3585107194629,0.000245591373967501,-0.000945150927998073,9.55567784537448E-05,2025-02-04 17:10:04.888501,-28.3585107194629,0.000246937609274535,-0.000456288167303254,9.67326361018516E-05,2025-02-04 17:10:04.888501,True
174,0xd8e7,0xd901,0xac2bc58e,0xecab4ff7,V1,V1,11.5,18,23.9425497825589,0.000245656092145378,-0.000671174381813744,9.6616653990287E-05,2025-02-04 16:16:51.532766,23.6861982146944,0.000245997277026632,-0.00038066200675746,0.000103375130527768,2025-02-04 16:23:00.282717,11.8833447775998,0.000244965460091213,-0.00109582456534096,9.59327353832699E-05,2025-02-05 08:36:24.595481,12.8393224994278,0.000245439531440051,-0.000460674807506667,0.000103585470296107,2025-02-04 16:39:01.325431,-28.321126115816,0.000242961033067153,-0.00113651498913686,9.54774918067851E-05,2025-02-05 09:06:44.485123,-28.321126115816,0.000243814484346044,-0.000361971260075533,0.000104421194278173,2025-02-05 09:06:44.485123,True
